CAREFUL PHYSICAL EXAMINATION,,Physical Examination,,,,
,,,[50],"In view of our findings for the current study, we recommend the following parameters for detection of bloodstream infections in adult patients when using the BACTEC 9240 system. First, 20 mL of blood should be obtained per venipuncture and distributed equally between an aerobic and an anaerobic blood culture bottle (i.e., “1 blood culture” or “1 blood culture set”). Second, two 20-mL blood samples should be obtained immediately at the time that the first blood culture is ordered for a 24-h period. Each of these 20-mL samples should be obtained from different venipunctures. Third, 2 additional 20-mL samples should be obtained at separate intervals over the remaining 24 h if signs and symptoms of septicemia persist. Finally, blood culture bottles should be incubated for 5 days.","for blood samples obtained from patients without infective endocarditis and cultured using a manual blood culture system containing standard media, yields from cultures of 20 mL and 30 mL of blood were 38% and 62% greater, respectively, than were those from 10 mL of blood. In our study, yields from 20 mL and 30 mL of blood were 29.8% and 47.2% greater, respectively, than those from 10 mL of blood. We found that, if 40-mL blood cultures were compared with 30-mL blood cultures, the increase in yield was less dramatic (7.2%).",
" with a set collected simultaneously from each lumen of an existing CVC, if present, and from a peripheral vein site; ",,"In the neutropenic patient with cancer, collection of blood culture sets from all CVC lumens (if present), as well as 1 set from a peripheral vein, is advocated during the initial evaluation of fever.",,,,
6.2. 2 blood culture sets from separate venipunctures should be sent if no central catheter is present (A-III). ,A-III,"Some experts have suggested obtaining both sets of blood cultures from the CVC alone, without peripheral vein sampling.",,,,
,,"However, the Panel does not favor this approach for initial evaluation, because a catheter-related infection cannot be ruled out without the simultaneous peripheral culture [51–53].",[51],"In hospitalized hematology-oncology patients, culture of blood drawn through either the central catheter or peripheral vein shows excellent negative predictive value. Culture of blood drawn through an indwelling central venous catheter has low positive predictive value, apparently less than from a peripheral venipuncture. Therefore, a positive result from a catheter needs clinical interpretation and may require confirmation. However, the use of a catheter to obtain blood for culture may be an acceptable method for ruling out bloodstream infections.","Of 551 paired cultures, 469 (85%) were catheternegative/venipuncture-negative, 32 (6%) were catheterpositive/venipuncture-positive, 17 (3%) were catheternegative/venipuncture-positive, and 33 (6%) were catheter-positive/venipuncture-negative pairs. For the 82 paired cultures with at least one positive result, blinded determination of true bacteremia or fungemia was made by two infectious disease specialists. For catheter draw compared with peripheral venipuncture, sensitivity was 89% (95% CI, 79% to 98%) and 78% (CI, 65% to 90%) (difference, 11 percentage points [CI, 26 to 28 percentage points]), specificity was 95% (CI, 93% to 97%) and 97% (CI, 96% to 99%) (difference, 22 percentage points [CI, 25 to 0.2 percentage points]), positive predictive value was 63% (CI, 50% to 75%) and 73% (CI, 60% to 86%) (difference, 210 percentage points [CI, 226 to 5 percentage points]), and negative predictive value was 99% [CI, 97% to 100%]) and 98% (CI, 96% to 100%) (difference, 1 percentage point [CI, 20.5 to 3 percentage points]).",
,,,[52],"My observations support those of Bryant and Strand [8], who noted significantly increased rates of contamination when blood for culture was obtained from intravenous catheters (P < .001).",,
,,,,"Furthermore, the American College of Physicians guidelines also recommend that blood for culture not be obtained from intravascular devices [9]. Although blood may occasionally be obtained from intravenous lines, a culture of blood obtained from such a device should be paired with another culture of blood obtained by peripheral venipuncture. Finally, I am unaware of published data from systematic studies that support obtaining separate blood samples from different ports of triplelumen catheters.",,
,,,[53],,,
6.3. Blood culture volumes should be limited to > 1% of total blood volume (usually 70 mL/kg) in patients weighing > 40 kg (C-III).,C-III,Some centers limit blood draws to no more than 1% of a patient’s total blood volume.,,,,
,,"Because total blood volume is approximately 70 mL/kg, the total sample limit would be 7 mL for a 10-kg patient and 28 mL for a 40-kg patient [48].",[48],,,
,,"In pediatric patients weighing < 40 kg, proportionately smaller volumes of blood culture samples are suggested.",,,,
WHEN TO GATHER BLOOD IF FEVER PERSISTS,,"If fever persists after empirical antibiotics have been started, then 2 sets of blood cultures (via catheter or periphery) may be obtained on each of the next 2 days.",,,,
,,"Beyond that, most experts would not continue daily blood cultures for persistent fever unless there is a clinical change in the patient.",,,,
,,"After initial defervescence occurs with empirical antibiotics, any recrudescent fever should be evaluated with cultures as a new episode of possible infection.",,,,
7. Culture specimens from other sites of suspected infection should be obtained as clinically indicated (A-III).,A-III,Culture of the sites listed below should be guided by clinical signs and symptoms but should not be performed routinely.,,,,
,,¤ Stool: A stool specimen in a patient with diarrhea should be evaluated with a Clostridium difficile toxin assay. There is limited value in sending a stool specimen for bacterial pathogen cultures or for ova and parasite examination for most patients treated in US hospitals unless there has been recent travel to or residence in areas of endemicity.,,,,
,,"¤ Urine: Culture of urine samples is indicated if signs or symptoms of urinary tract infection exist, a urinary catheter is in place, or the findings of urinalysis are abnormal.",,,,
,,¤ CSF: Examination and culture of spinal fluid is indicated if meningitis is suspected. Platelet transfusion should be given prior to lumbar puncture if thrombocytopenia is a concern.,,,,
,,"¤ Skin: Aspiration or biopsy of skin lesions suspected of being infected should be performed for cytological testing, Gram staining, and culture [54].",[54],,,
,,"¤ Respiratory specimens: Sputum samples for routine bacterial culture should be sent if the patient has a productive cough. Lower respiratory tract specimens obtained by bronchoalveolar lavage (BAL) are recommended for patients with an infiltrate of uncertain etiology visible on chest imaging. Nasal wash or BAL specimens are recommended to evaluate for symptoms of respiratory virus infection, particularly during an outbreak or during winter. Assays should be sent for detection of adenovirus, influenza A and B virus, RSV, and parainfluenza virus.",,,,
8. A chest radiograph is indicated for patients with respiratory signs or symptoms (A-III).,A-III,Patients with respiratory signs and symptoms should have a chest radiograph to rule out pneumonia. ,,,,
,,Pneumonia during neutropenia can progress rapidly to respiratory compromise and therefore should be managed in the inpatient setting. ,,,,
,,"CT of other areas (head, sinuses, abdomen, and pelvis) should be performed as clinically indicated.",,,,
NO OTHER TESTS RECOMMENDED,,Serum Markers of Inflammation,,,,
,,"Studies have demonstrated inconsistent results regarding the use of such markers of inflammation as C-reactive protein, interleukins- 6 and -8, and procalcitonin in neutropenic patients with cancer [55–57]. ",[55],PCT and IL-6 are more reliable markers than CRP for predicting bacteremia in patients with febrile neutropenia,"The results indicated that CRP, the most commonly used marker, was elevated in all conditions related with febrile neutropenia, including non-microbial episodes. Although CRP levels appeared to be slightly lower in patients with non-microbial fever, the difference was not significant. In the present study we found a highly significant difference in PCT levels between bacteremic and nonbacteremic episodes, and based on a cutoff level of 0.62 ng/ml PCT showed good sensitivity and specificity for predicting bacteremia. In contrast to others [28], however, we could not find a significant difference between PCT levels in cases of bacteremia due to grampositive versus gram-negative agents, since PCT levels were elevated in both types of infection. IL-6 was similarly elevated in patients with systemic bacteremic infection in contrast to non-microbial febrile episodes or FUO. It also proved to be an effective marker in distinguishing between bacteremic and non-bacteremic episodes. A cutoff level of 297 pg/ml was associated with a sensitivity comparable to that of PCT, but the specificity was somewhat lower. Surprisingly, we found a difference in the IL-6 levels detected in cases of bacteremia due to gram-positive versus gram-negative microorganisms, with a very low median level present in cases of gram-negative infection. However, this may be a bias due to the small number of patients in our study population.",
,,,[56],"In conclusion,daily measurement of PCT or IL-6 could help identify neutropenic patients with a stable course when the fever lasts >3 d. This could lead to i.v. antibiotic treatment being discontinued or at least not being intensified, which in turn would help to minimise the risk of development of super-infections of resistant strains. In addition, it would reduce adverse events and treatment costs. We suggest that this strategy should be tested prospectively in neutropenic patients.","Patients whose fever continued for more than 3 d and who developed symptoms and signs of complications had significantly higher plasma levels of PCT and IL-6 (P < 0.05) than did patients without complications. The levels of CRP and SAA did not differ on any day between the two groups of episodes. Furthermore, none of the four studied markers could in advance predict on which day the patient would deteriorate (data not shown). A significant difference in the median values between the two groups was seen only for PCT (P 1/4 0.001) and IL-6 (P 1/4 0.003). Moreover, when comparing day-to-day values, we found significantly lower levels of PCT and IL-6 in the group of episodes with no subsequent complications than in the group with complications (Table 2). However, in individual episodes none of the analysed markers could predict the time for developing complications. A comparison of the two episode groups (complication vs. no complication) showed no significant difference on any day in the levels of CRP and SAA.","NB: Blood samples were collected in a 4-mL, 120 IU endotoxin-free sodium heparin solution tube, Endo Tube…"
,,,[57],Our study supports the value of PCT as a reliable tool to predict clinical outcome in febrile neutropenia.,"In febrile episodes with an increase in PCT levels we investigated the potential predictive value of a decrease after resolution of fever. The ratio between the maximum value of PCT during the febrile episode and the value on the second afebrile day was determined. This was found to correlate inversely with the duration of the following afebrile period (correlation coefficient −0.332 and P=0.006). Therefore, it is not surprising that a decrease in PCT values appears to be associated with a longer afebrile period after defervescence.",
,,The current data are not sufficient to recommend routine use of these tests to guide decisions about antimicrobial use.,,??,,
